bands_neon,wavelength,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12
1,382.2587,,,,,,,,,,,,,
2,387.2674,,,,,,,,,,,,,
3,392.2761,,,,,,,,,,,,,
4,397.2848,,,,,,,,,,,,,
5,402.2935,,,,,,,,,,,,,
6,407.3022,,,,,,,,,,,,,
7,412.3109,,,,,,,,,,,,,
8,417.3195,,,,,,,,,,,,,
9,422.3282,0.000236798027606714,,,,,,,,,,,,
10,427.3369,0.0118341026357014,,,,,,,,,,,,
11,432.3455,0.123694849265661,,,,,,,,,,,,
12,437.3542,0.236122522197003,,,,,,,,,,,,
13,442.363,0.259392097692082,,,,,,,,,,,,
14,447.3716,0.2499729509563,5.70075971977839E-05,,,,,,,,,,,
15,452.3804,0.112937052262219,0.000937856006915961,,,,,,,,,,,
16,457.389,0.00561784420634366,0.0207871441364775,,,,,,,,,,,
17,462.3978,0.000191782757084636,0.0624171087867164,,,,,,,,,,,
18,467.4064,,0.071938050879615,,,,,,,,,,,
19,472.415,,0.0734982354281612,,,,,,,,,,,
20,477.4238,,0.0749080158563818,,,,,,,,,,,
21,482.4324,,0.0764115865715597,,,,,,,,,,,
22,487.4412,,0.0778856332045767,,,,,,,,,,,
23,492.4498,,0.0786362419380906,,,,,,,,,,,
24,497.4585,,0.0788526554854115,,,,,,,,,,,
25,502.4672,,0.0805202200635659,,,,,,,,,,,
26,507.4759,,0.0806178517411343,,,,,,,,,,,
27,512.4846,,0.0795655059054378,,,,,,,,,,,
28,517.4932,,0.0786692250864067,,,,,,,,,,,
29,522.502,,0.0537569966747472,,,,,,,,,,,
30,527.5106,,0.00985324616390021,,,,,,,,,,,
31,532.5194,,0.000636510970802195,0.000584166129538556,,,,,,,,,,
32,537.528,,5.09075029014574E-05,0.00638359884475421,,,,,,,,,,
33,542.5367,,,0.067570957236929,,,,,,,,,,
34,547.5454,,,0.133974633067959,,,,,,,,,,
35,552.5542,,,0.142103280842034,,,,,,,,,,
36,557.5628,,,0.143080872376184,,,,,,,,,,
37,562.5714,,,0.142315830677066,,,,,,,,,,
38,567.5802,,,0.141293777078609,,,,,,,,,,
39,572.5888,,,0.134286260547047,,,,,,,,,,
40,577.5974,,,0.079018200196595,,,,,,,,,,
41,582.6062,,,0.00888315207634777,,,,,,,,,,
42,587.6148,,,0.000505270926937379,,,,,,,,,,
43,592.6236,,,,,,,,,,,,,
44,597.6322,,,,,,,,,,,,,
45,602.641,,,,,,,,,,,,,
46,607.6496,,,,,,,,,,,,,
47,612.6584,,,,,,,,,,,,,
48,617.667,,,,,,,,,,,,,
49,622.6757,,,,,,,,,,,,,
50,627.6844,,,,,,,,,,,,,
51,632.693,,,,,,,,,,,,,
52,637.7017,,,,3.18926689817287E-05,,,,,,,,,
53,642.7104,,,,0.00257852509109754,,,,,,,,,
