neon_id,s2_id,longitude,latitude,time,cs_cdf,base_date,days_diff,utm_x,utm_y,crs,tile_id,abs_days_diff,id,sentinel2_id
projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_CLBJ_1,20160505T171302_20160505T172301_T14SPB,-97.66771229838356,33.368460217790094,2016-05-05,0.9058823529411764,2016-04-22,13,625944.0521368855,3693233.480103688,EPSG:32614,NA5120_E1611N0546,13,NEON_S2__0003,COPERNICUS/S2_HARMONIZED/20160505T171302_20160505T172301_T14SPB
projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,20160609T162342_20160609T162514_T17SKV,-83.59362707902619,35.62215360258915,2016-06-09,0.9058823529411764,2016-06-08,1,265621.5671535979,3945859.926418435,EPSG:32617,NA5120_E1862N0617,1,NEON_S2__0011,COPERNICUS/S2_HARMONIZED/20160609T162342_20160609T162514_T17SKV
projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_TALL_2,20160423T163322_20160423T163610_T16SDB,-87.41110771042051,32.9085227923209,2016-04-23,0.9098039215686274,2016-05-06,-13,461491.7677588154,3641893.5660184575,EPSG:32616,NA5120_E1801N0548,13,NEON_S2__0031,COPERNICUS/S2_HARMONIZED/20160423T163322_20160423T163610_T16SDB
projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_CPER_3,20170601T174911_20170601T180009_T13TEF,-104.75074865060915,40.81944651039105,2017-06-01,0.9058823529411764,2017-05-24,8,522901.7805693787,4518221.870780458,EPSG:32613,NA5120_E1494N0713,8,NEON_S2__0036,COPERNICUS/S2_HARMONIZED/20170601T174911_20170601T180009_T13TEF
projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_GRSM_3,20171002T162111_20171002T162618_T17SKV,-83.50163959393235,35.66814734513607,2017-10-02,0.9098039215686274,2017-10-05,-3,271525.7355120389,3949824.714154487,EPSG:32617,NA5120_E1863N0618,3,NEON_S2__0043,COPERNICUS/S2_HARMONIZED/20171002T162111_20171002T162618_T17SKV
projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_HARV_4,20170806T153909_20170806T153908_T18TYN,-72.14118518484324,42.567208727174,2017-08-06,0.9058823529411764,2017-08-13,-7,734441.210608064,4714512.3366984045,EPSG:32618,NA5120_E2015N0813,7,NEON_S2__0056,COPERNICUS/S2_HARMONIZED/20170806T153909_20170806T153908_T18TYN
projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_OAES_2,20170423T172301_20170423T173334_T14SME,-99.09351831733808,35.34619114730764,2017-04-23,0.9019607843137256,2017-05-01,-8,491445.950642996,3911015.693259932,EPSG:32614,NA5120_E1585N0589,8,NEON_S2__0060,COPERNICUS/S2_HARMONIZED/20170423T172301_20170423T173334_T14SME
projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_SERC_3,20170804T154911_20170804T155116_T18SUJ,-76.60257821189442,38.88770932342044,2017-08-04,0.9058823529411764,2017-08-04,0,362128.4205379884,4306260.971004153,EPSG:32618,NA5120_E1967N0714,0,NEON_S2__0065,COPERNICUS/S2_HARMONIZED/20170804T154911_20170804T155116_T18SUJ
projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_SRER_1,20170813T175911_20170813T181415_T12SWA,-110.86791640934943,31.75867922864792,2017-08-13,0.9058823529411764,2017-08-24,-11,511610.3340084088,3512789.1693388447,EPSG:32612,NA5120_E1362N0532,11,NEON_S2__0069,COPERNICUS/S2_HARMONIZED/20170813T175911_20170813T181415_T12SWA
projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_TALL_3,20170508T163331_20170508T163426_T16SDB,-87.41110771042051,32.9085227923209,2017-05-08,0.9137254901960784,2017-05-10,-2,461491.7677588154,3641893.5660184575,EPSG:32616,NA5120_E1801N0548,2,NEON_S2__0074,COPERNICUS/S2_HARMONIZED/20170508T163331_20170508T163426_T16SDB
