ID_NEON,ID_SENTINEL2,Collection_NEON,Collection_Sentinel,x,y,crs
2016_HARV_3,20160816T153912_20160816T154443_T18TYN,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,729000.0013534757,4707000.0008215215,32618
2016_HARV_3,20160816T153912_20160816T204603_T18TYN,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,729000.0013534757,4707000.0008215215,32618
2017_CLBJ_2,20170430T171301_20170430T172229_T14SPB,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,629499.9999506018,3692999.999554598,32614
2017_CLBJ_2,20170430T171301_20170430T172229_T14SPC,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,629500.0513381541,3695124.978874789,32614
2017_SERC_3,20170804T154911_20170804T155116_T18SUJ,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,364499.9996486307,4305999.998759071,32618
2017_SRER_1,20170823T181441_20170823T181444_T12SVA,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,505466.5574477448,3525242.394145125,32612
2017_SRER_1,20170823T181441_20170823T181444_T12SWA,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,514268.3518495863,3524094.650470739,32612
2018_OAES_3,20180418T171901_20180418T172509_T14SME,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,491000.0010486118,3913500.000954498,32614
2018_SRER_2,20180823T175909_20180823T180657_T12SVA,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,504374.8969900116,3521000.0101019223,32612
2018_SRER_2,20180823T175909_20180823T180657_T12SWA,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,512985.24090224836,3520999.996175031,32612
2019_HARV_6,20190811T153911_20190811T154405_T18TYM,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,730500.0031497194,4697024.442155565,32618
2019_HARV_6,20190811T153911_20190811T154405_T18TYN,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,730499.9996167585,4706499.999099702,32618
2019_HEAL_3,20190625T214539_20190625T214538_T05VPL,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,391499.9976199364,7084999.998988921,32606
2019_HEAL_3,20190625T214539_20190625T214538_T06VUR,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,391499.9976199364,7084999.998988921,32606
2019_JERC_5,20190830T160901_20190830T161839_T16RGV,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,741999.9996968815,3459999.9980311114,32616
2019_JORN_3,20190825T174909_20190825T180034_T13SCS,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,325999.99946390616,3613000.000518506,32613
2019_SOAP_4,20190611T183929_20190611T185318_T11SKB,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,299500.00033833,4102500.000220377,32611
2019_SOAP_4,20190611T183929_20190611T185318_T11SLB,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,303494.6594905553,4102500.193169724,32611
2020_CPER_7,20200913T174941_20200913T175722_T13TEF,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,521500.0022378435,4518999.9998780945,32613
2020_NIWO_4,20200720T174909_20200720T175738_T13TDE,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,451499.99934481224,4431500.000239958,32613
2020_YELL_3,20200704T181931_20200704T182233_T12TWQ,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,537499.9976184481,4975499.998473803,32612
2021_ABBY_4,20210719T190919_20210719T191700_T10TER,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,553000.0017397746,5067000.000399666,32610
