ID_NEON,ID_SENTINEL2,Collection_NEON,Collection_Sentinel
2016_HARV_3,20160816T153912_20160816T154443_T18TYM,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED
2016_HARV_3,20160816T153912_20160816T154443_T18TYN,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED
2016_HARV_3,20160816T153912_20160816T154443_T19TBG,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED
2016_HARV_3,20160816T153912_20160816T204603_T18TYM,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED
2016_HARV_3,20160816T153912_20160816T204603_T18TYN,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED
2016_HARV_3,20160816T153912_20160816T204603_T19TBG,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED
2017_CLBJ_2,20170430T171301_20170430T172229_T14SPB,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED
2017_CLBJ_2,20170430T171301_20170430T172229_T14SPC,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED
2017_OAES_2,20170430T171301_20170430T172229_T14SME,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED
2017_SERC_3,20170804T154911_20170804T155116_T18SUH,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED
2017_SERC_3,20170804T154911_20170804T155116_T18SUJ,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED
2017_SRER_1,20170823T181441_20170823T181444_T12SVA,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED
2017_SRER_1,20170823T181441_20170823T181444_T12SWA,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED
2018_OAES_3,20180418T171901_20180418T172509_T14SME,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED
2018_SRER_2,20180823T175909_20180823T180657_T12SVA,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED
2018_SRER_2,20180823T175909_20180823T180657_T12SWA,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED
2019_HARV_6,20190811T153911_20190811T154405_T18TYM,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED
2019_HARV_6,20190811T153911_20190811T154405_T18TYN,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED
2019_HARV_6,20190811T153911_20190811T154405_T19TBG,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED
2019_HEAL_3,20190625T214539_20190625T214538_T05VPL,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED
2019_HEAL_3,20190625T214539_20190625T214538_T05WPM,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED
2019_HEAL_3,20190625T214539_20190625T214538_T06VUR,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED
2019_JERC_5,20190830T160901_20190830T161839_T16RGV,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED
2019_JORN_3,20190825T174909_20190825T180034_T13SCR,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED
2019_JORN_3,20190825T174909_20190825T180034_T13SCS,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED
2019_OAES_4,20190425T170859_20190425T171336_T14SME,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED
2019_SOAP_4,20190611T183929_20190611T185318_T11SKA,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED
2019_SOAP_4,20190611T183929_20190611T185318_T11SKB,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED
2019_SOAP_4,20190611T183929_20190611T185318_T11SLA,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED
2019_SOAP_4,20190611T183929_20190611T185318_T11SLB,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED
2020_CPER_7,20200913T174941_20200913T175722_T13TEF,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED
