tile_id,utm,lon,lat,utm_x,utm_y,e7g_x,e7g_y,mgrs_tiles,ntiles,neon_id,neon_date,val_null
NA5120_E1908N0665,EPSG:32617,-80.54664734986183,37.37429719715191,540139.0632271835,4136492.085378991,9771520.0,3407360.0,17SNB,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2015_MLBS_1,2015-08-21,0.0
NA5120_E1909N0665,EPSG:32617,-80.49072646356413,37.36431864044983,545096.2074551338,4135410.2987861945,9776640.0,3407360.0,17SNB,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2015_MLBS_1,2015-08-21,0.39828431372549017
NA5120_E1801N0548,EPSG:32616,-87.41182602268786,32.91458924156657,461491.7677588154,3641893.5660184575,9223680.0,2808320.0,16SDB,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2015_TALL_1,2015-07-16,0.0
NA5120_E1801N0549,EPSG:32616,-87.40569243208498,32.96029239763426,462084.80625560496,3646958.000356317,9223680.0,2813440.0,16SDB,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2015_TALL_1,2015-07-16,0.0
NA5120_E1611N0545,EPSG:32614,-97.646057016779,33.32481560589625,626018.9207577497,3688115.077732719,8250880.0,2792960.0,14SPB,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_CLBJ_1,2016-04-22,7.12484237074401
NA5120_E1611N0546,EPSG:32614,-97.64614693030559,33.37097878824861,625944.0521368855,3693233.4801036874,8250880.0,2798080.0,14SPB,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_CLBJ_1,2016-04-22,0.4821600771456124
NA5120_E1612N0546,EPSG:32614,-97.59208957295374,33.37104797051992,630973.1039415916,3693307.8351263576,8256000.0,2798080.0,14SPB,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_CLBJ_1,2016-04-22,0.0
NA5120_E1862N0617,EPSG:32617,-83.58815521373354,35.62877077307547,265621.5671535979,3945859.926418435,9536000.0,3161600.0,17SKV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,2016-06-08,0.15812776723592661
NA5120_E1862N0618,EPSG:32617,-83.5791253671715,35.67401819790959,266571.2686234509,3950858.379278738,9536000.0,3166720.0,17SKV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,2016-06-08,0.0
NA5120_E1863N0617,EPSG:32617,-83.53320215617227,35.62062673229746,270575.790008912,3944826.7289147885,9541120.0,3161600.0,17SKV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,2016-06-08,0.0
NA5120_E1863N0618,EPSG:32617,-83.52413882536106,35.66586716960197,271525.7355120389,3949824.7141544865,9541120.0,3166720.0,17SKV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,2016-06-08,0.0
