neon_id,neon_date
projects/neon-prod-earthengine/assets/HSI_REFL/001/2015_MLBS_1,2015-08-21
projects/neon-prod-earthengine/assets/HSI_REFL/001/2015_TALL_1,2015-07-16
projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_CLBJ_1,2016-04-22
projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,2016-06-08
projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_HARV_3,2016-08-16
projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_JERC_2,2016-09-20
projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_SERC_1,2016-07-24
projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_TALL_2,2016-05-06
projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_CLBJ_2,2017-05-01
projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_CPER_3,2017-05-24
projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_GRSM_3,2017-10-05
projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_HARV_4,2017-08-13
projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_JERC_3,2017-09-17
projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_MLBS_2,2017-08-05
projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_OAES_2,2017-05-01
projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_SERC_3,2017-08-04
projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_SRER_1,2017-08-24
projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_TALL_3,2017-05-10
projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_GUAN_1,2018-05-10
projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_HARV_5,2018-08-28
projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_JERC_4,2018-09-16
projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_MCRA_1,2018-07-16
projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_MLBS_3,2018-06-15
projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_OAES_3,2018-04-18
projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_SRER_2,2018-08-24
projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_TALL_4,2018-04-27
projects/neon-prod-earthengine/assets/HSI_REFL/001/2019_CLBJ_4,2019-04-19
projects/neon-prod-earthengine/assets/HSI_REFL/001/2019_HARV_6,2019-08-11
projects/neon-prod-earthengine/assets/HSI_REFL/001/2019_HEAL_3,2019-06-26
projects/neon-prod-earthengine/assets/HSI_REFL/001/2019_JERC_5,2019-08-30
projects/neon-prod-earthengine/assets/HSI_REFL/001/2019_JORN_3,2019-08-25
projects/neon-prod-earthengine/assets/HSI_REFL/001/2019_NIWO_3,2019-08-14
projects/neon-prod-earthengine/assets/HSI_REFL/001/2019_OAES_4,2019-04-25
projects/neon-prod-earthengine/assets/HSI_REFL/001/2019_SERC_4,2019-05-15
projects/neon-prod-earthengine/assets/HSI_REFL/001/2019_SOAP_4,2019-06-11
projects/neon-prod-earthengine/assets/HSI_REFL/001/2019_SRER_3,2019-09-01
projects/neon-prod-earthengine/assets/HSI_REFL/001/2019_TALL_5,2019-04-27
projects/neon-prod-earthengine/assets/HSI_REFL/001/2020_CPER_5,2020-06-14
projects/neon-prod-earthengine/assets/HSI_REFL/001/2020_CPER_7,2020-09-13
projects/neon-prod-earthengine/assets/HSI_REFL/001/2020_NIWO_4,2020-07-20
projects/neon-prod-earthengine/assets/HSI_REFL/001/2020_RMNP_3,2020-06-27
projects/neon-prod-earthengine/assets/HSI_REFL/001/2020_YELL_3,2020-07-05
projects/neon-prod-earthengine/assets/HSI_REFL/001/2021_ABBY_4,2021-07-19
projects/neon-prod-earthengine/assets/HSI_REFL/001/2021_BONA_4,2021-07-13
projects/neon-prod-earthengine/assets/HSI_REFL/001/2021_CLBJ_5,2021-06-19
projects/neon-prod-earthengine/assets/HSI_REFL/001/2021_CPER_8,2021-05-25
projects/neon-prod-earthengine/assets/HSI_REFL/001/2021_HEAL_4,2021-07-12
projects/neon-prod-earthengine/assets/HSI_REFL/001/2021_JERC_6,2021-09-05
projects/neon-prod-earthengine/assets/HSI_REFL/001/2021_JORN_4,2021-08-26
projects/neon-prod-earthengine/assets/HSI_REFL/001/2021_MCRA_2,2021-07-22
projects/neon-prod-earthengine/assets/HSI_REFL/001/2021_OAES_5,2021-06-22
projects/neon-prod-earthengine/assets/HSI_REFL/001/2021_OSBS_6,2021-08-31
projects/neon-prod-earthengine/assets/HSI_REFL/001/2021_SERC_5,2021-08-11
projects/neon-prod-earthengine/assets/HSI_REFL/001/2021_SJER_5,2021-03-31
projects/neon-prod-earthengine/assets/HSI_REFL/001/2021_SOAP_5,2021-07-12
projects/neon-prod-earthengine/assets/HSI_REFL/001/2021_SRER_4,2021-08-23
projects/neon-prod-earthengine/assets/HSI_REFL/001/2021_TALL_6,2021-04-26
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_ABBY_5,2022-07-11
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_ARIK_4,2022-07-07
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_BART_6,2022-08-19
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_BLAN_5,2022-05-21
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_CHEQ_7,2022-06-17
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_CLBJ_6,2022-05-06
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_CUPE_2,2022-10-20
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_GRSM_7,2022-09-23
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_GUAN_2,2022-10-21
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_GUIL_2,2022-10-24
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_HARV_7,2022-08-03
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_HOPB_4,2022-08-12
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_JORN_5,2022-09-04
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_KONZ_7,2022-06-13
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_LAJA_2,2022-11-02
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_LIRO_3,2022-06-17
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_MCDI_3,2022-06-14
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_MCRA_3,2022-07-14
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_MLBS_5,2022-09-21
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_MOAB_6,2022-04-30
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_OAES_6,2022-05-09
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_ONAQ_4,2022-05-05
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_PRIN_5,2022-05-06
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_REDB_4,2022-05-06
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_RMNP_4,2022-07-25
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_SCBI_5,2022-05-30
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_SERC_6,2022-05-29
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_SRER_5,2022-08-29
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_STEI_5,2022-06-09
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_STER_4,2022-07-17
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_TOOL_4,2022-08-03
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_UKFS_6,2022-06-09
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_UNDE_5,2022-06-20
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_WREF_5,2022-07-11
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_YELL_4,2022-06-22
projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_ABBY_6,2023-06-28
projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_ARIK_5,2023-08-14
projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_BONA_5,2023-08-11
projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_CLBJ_7,2023-05-17
projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_DEJU_5,2023-07-21
projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_DELA_7,2023-05-25
