ID_NEON,ID_SENTINEL2,Collection_NEON,Collection_Sentinel,x,y,crs,sentinel2_id,neon_id
2016_HARV_3,20160816T153912_20160816T154443_T18TYN,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,729000.0013534757,4707000.0008215215,32618,COPERNICUS/S2_HARMONIZED/20160816T153912_20160816T154443_T18TYN,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_HARV_3
2016_HARV_3,20160816T153912_20160816T204603_T18TYN,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,729000.0013534757,4707000.0008215215,32618,COPERNICUS/S2_HARMONIZED/20160816T153912_20160816T204603_T18TYN,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_HARV_3
2017_CLBJ_2,20170430T171301_20170430T172229_T14SPB,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,629499.9999506018,3692999.999554598,32614,COPERNICUS/S2_HARMONIZED/20170430T171301_20170430T172229_T14SPB,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_CLBJ_2
2017_CLBJ_2,20170430T171301_20170430T172229_T14SPC,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,629500.0513381541,3695124.978874789,32614,COPERNICUS/S2_HARMONIZED/20170430T171301_20170430T172229_T14SPC,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_CLBJ_2
2017_SERC_3,20170804T154911_20170804T155116_T18SUJ,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,364499.9996486307,4305999.998759071,32618,COPERNICUS/S2_HARMONIZED/20170804T154911_20170804T155116_T18SUJ,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_SERC_3
2017_SRER_1,20170823T181441_20170823T181444_T12SVA,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,505466.5574477448,3525242.394145125,32612,COPERNICUS/S2_HARMONIZED/20170823T181441_20170823T181444_T12SVA,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_SRER_1
2017_SRER_1,20170823T181441_20170823T181444_T12SWA,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,514268.3518495863,3524094.650470739,32612,COPERNICUS/S2_HARMONIZED/20170823T181441_20170823T181444_T12SWA,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_SRER_1
2018_OAES_3,20180418T171901_20180418T172509_T14SME,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,491000.0010486118,3913500.000954498,32614,COPERNICUS/S2_HARMONIZED/20180418T171901_20180418T172509_T14SME,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_OAES_3
2018_SRER_2,20180823T175909_20180823T180657_T12SVA,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,504374.8969900116,3521000.0101019223,32612,COPERNICUS/S2_HARMONIZED/20180823T175909_20180823T180657_T12SVA,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_SRER_2
2018_SRER_2,20180823T175909_20180823T180657_T12SWA,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,512985.2409022484,3520999.996175031,32612,COPERNICUS/S2_HARMONIZED/20180823T175909_20180823T180657_T12SWA,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_SRER_2
2019_HARV_6,20190811T153911_20190811T154405_T18TYM,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,730500.0031497194,4697024.442155565,32618,COPERNICUS/S2_HARMONIZED/20190811T153911_20190811T154405_T18TYM,projects/neon-prod-earthengine/assets/HSI_REFL/001/2019_HARV_6
2019_HARV_6,20190811T153911_20190811T154405_T18TYN,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,730499.9996167585,4706499.999099702,32618,COPERNICUS/S2_HARMONIZED/20190811T153911_20190811T154405_T18TYN,projects/neon-prod-earthengine/assets/HSI_REFL/001/2019_HARV_6
2019_HEAL_3,20190625T214539_20190625T214538_T05VPL,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,391499.9976199364,7084999.998988921,32606,COPERNICUS/S2_HARMONIZED/20190625T214539_20190625T214538_T05VPL,projects/neon-prod-earthengine/assets/HSI_REFL/001/2019_HEAL_3
2019_HEAL_3,20190625T214539_20190625T214538_T06VUR,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,391499.9976199364,7084999.998988921,32606,COPERNICUS/S2_HARMONIZED/20190625T214539_20190625T214538_T06VUR,projects/neon-prod-earthengine/assets/HSI_REFL/001/2019_HEAL_3
2019_JERC_5,20190830T160901_20190830T161839_T16RGV,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,741999.9996968815,3459999.9980311114,32616,COPERNICUS/S2_HARMONIZED/20190830T160901_20190830T161839_T16RGV,projects/neon-prod-earthengine/assets/HSI_REFL/001/2019_JERC_5
2019_JORN_3,20190825T174909_20190825T180034_T13SCS,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,325999.99946390616,3613000.000518506,32613,COPERNICUS/S2_HARMONIZED/20190825T174909_20190825T180034_T13SCS,projects/neon-prod-earthengine/assets/HSI_REFL/001/2019_JORN_3
2019_SOAP_4,20190611T183929_20190611T185318_T11SKB,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,299500.00033833,4102500.000220377,32611,COPERNICUS/S2_HARMONIZED/20190611T183929_20190611T185318_T11SKB,projects/neon-prod-earthengine/assets/HSI_REFL/001/2019_SOAP_4
2019_SOAP_4,20190611T183929_20190611T185318_T11SLB,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,303494.6594905553,4102500.193169724,32611,COPERNICUS/S2_HARMONIZED/20190611T183929_20190611T185318_T11SLB,projects/neon-prod-earthengine/assets/HSI_REFL/001/2019_SOAP_4
2020_CPER_7,20200913T174941_20200913T175722_T13TEF,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,521500.0022378435,4518999.999878095,32613,COPERNICUS/S2_HARMONIZED/20200913T174941_20200913T175722_T13TEF,projects/neon-prod-earthengine/assets/HSI_REFL/001/2020_CPER_7
2020_NIWO_4,20200720T174909_20200720T175738_T13TDE,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,451499.9993448122,4431500.000239958,32613,COPERNICUS/S2_HARMONIZED/20200720T174909_20200720T175738_T13TDE,projects/neon-prod-earthengine/assets/HSI_REFL/001/2020_NIWO_4
2020_YELL_3,20200704T181931_20200704T182233_T12TWQ,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,537499.9976184481,4975499.998473803,32612,COPERNICUS/S2_HARMONIZED/20200704T181931_20200704T182233_T12TWQ,projects/neon-prod-earthengine/assets/HSI_REFL/001/2020_YELL_3
2021_ABBY_4,20210719T190919_20210719T191700_T10TER,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,553000.0017397746,5067000.000399666,32610,COPERNICUS/S2_HARMONIZED/20210719T190919_20210719T191700_T10TER,projects/neon-prod-earthengine/assets/HSI_REFL/001/2021_ABBY_4
2021_BONA_4,20210713T212531_20210713T212706_T06WVT,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,477000.0011121556,7228000.001930334,32606,COPERNICUS/S2_HARMONIZED/20210713T212531_20210713T212706_T06WVT,projects/neon-prod-earthengine/assets/HSI_REFL/001/2021_BONA_4
2021_CLBJ_5,20210618T170851_20210618T171557_T14SPB,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,629500.0029326043,3691514.456082705,32614,COPERNICUS/S2_HARMONIZED/20210618T170851_20210618T171557_T14SPB,projects/neon-prod-earthengine/assets/HSI_REFL/001/2021_CLBJ_5
2021_CLBJ_5,20210618T170851_20210618T171557_T14SPC,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,629500.0781234335,3695624.9778367537,32614,COPERNICUS/S2_HARMONIZED/20210618T170851_20210618T171557_T14SPC,projects/neon-prod-earthengine/assets/HSI_REFL/001/2021_CLBJ_5
2021_HEAL_4,20210711T213529_20210711T213531_T05VPL,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,391500.0016549629,7085499.997007185,32606,COPERNICUS/S2_HARMONIZED/20210711T213529_20210711T213531_T05VPL,projects/neon-prod-earthengine/assets/HSI_REFL/001/2021_HEAL_4
2021_HEAL_4,20210711T213529_20210711T213531_T05WPM,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,391737.6926885347,7090269.437705969,32606,COPERNICUS/S2_HARMONIZED/20210711T213529_20210711T213531_T05WPM,projects/neon-prod-earthengine/assets/HSI_REFL/001/2021_HEAL_4
2021_HEAL_4,20210711T213529_20210711T213531_T06VUR,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,391500.0016549629,7085499.997007185,32606,COPERNICUS/S2_HARMONIZED/20210711T213529_20210711T213531_T06VUR,projects/neon-prod-earthengine/assets/HSI_REFL/001/2021_HEAL_4
2021_JORN_4,20210826T173911_20210826T175436_T13SCS,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,326000.00153185194,3611500.000709052,32613,COPERNICUS/S2_HARMONIZED/20210826T173911_20210826T175436_T13SCS,projects/neon-prod-earthengine/assets/HSI_REFL/001/2021_JORN_4
2021_OAES_5,20210621T171901_20210621T172703_T14SME,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,492500.0008493425,3913500.000734819,32614,COPERNICUS/S2_HARMONIZED/20210621T171901_20210621T172703_T14SME,projects/neon-prod-earthengine/assets/HSI_REFL/001/2021_OAES_5
2021_OSBS_6,20210831T155819_20210831T160320_T17RLN,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,401894.47036367713,3284500.044601837,32617,COPERNICUS/S2_HARMONIZED/20210831T155819_20210831T160320_T17RLN,projects/neon-prod-earthengine/assets/HSI_REFL/001/2021_OSBS_6
2021_OSBS_6,20210831T155819_20210831T160320_T17RMN,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,406474.9173717266,3284499.9236709825,32617,COPERNICUS/S2_HARMONIZED/20210831T155819_20210831T160320_T17RMN,projects/neon-prod-earthengine/assets/HSI_REFL/001/2021_OSBS_6
